Course Code,Course Title,Session,Cr Hrs,Day and Time,Instructor
MECO 111 LEC 7,Principles of Microeconomics,16W,3.0,MW 5:00PM-6:15PM,
MECO 2201 LEC 1,Introduction to Business Economics,SDSB-Foundation,1.5,MRFSSu 4:30PM-6:40PM,Ummad Mazhar
MECO 2201 LEC 2,Introduction to Business Economics,SDSB-Foundation,1.5,MRFSSu 8:30AM-10:40AM,
MECO 5201 LEC 1,Business Economics,MS1,1.5,FSSu 8:30AM-10:30AM,Ummad Mazhar
MECO 5201 LEC 2,Business Economics,MS1,1.5,FSSu 4:15PM-6:15PM,Misbah Tanveer Chaudhry
MECO 5201 LEC 3,Business Economics,MS1,1.5,FSSu 10:45AM-12:45PM,Misbah Tanveer Chaudhry
MECO 7301 LEC 1,Economic Theory,16W,3.0,T 3:00PM-6:00PM,Misbah Tanveer Chaudhry
MGMT 142 LEC 1,Principles of Management,16W,3.0,TR 2:00PM-3:15PM,Mujeeb Rashid
MGMT 142 LEC 2,Principles of Management,16W,3.0,TR 9:30AM-10:45AM,Fareed Ud Din Farooq Qureshi
MGMT 142 LEC 3,Principles of Management,16W,3.0,TR 11:00AM-12:15PM,Fareed Ud Din Farooq Qureshi
MGMT 142 LEC 4,Principles of Management,16W,3.0,TR 9:30AM-10:45AM,Afaf Khalid
MGMT 142 LEC 5,Principles of Management,16W,3.0,MW 11:00AM-12:15PM,Mohsin Bashir
MGMT 142 LEC 6,Principles of Management,16W,3.0,MW 2:00PM-3:15PM,
MGMT 142 LEC 7,Principles of Management,16W,3.0,TR 2:00PM-3:15PM,
MGMT 212 LEC 1,Business Communication,16W,3.0,TR 11:00AM-12:15PM,Aneka Fahima Sufi
MGMT 212 LEC 2,Business Communication,16W,3.0,TR 2:00PM-3:15PM,Aneka Fahima Sufi
MGMT 212 LEC 3,Business Communication,16W,3.0,TR 9:30AM-10:45AM,Mehr Farhan Cheema
MGMT 212 LEC 4,Business Communication,16W,3.0,MW 11:00AM-12:15PM,Shezeen Salim Hemani
MGMT 212 LEC 5,Business Communication,16W,3.0,MW 12:30PM-1:45PM,Shezeen Salim Hemani
MGMT 242 LEC 1,Business Ethics and Corporate Social Responsibility,16W,3.0,TR 11:00AM-12:15PM,Razi Allah Lone
MGMT 242 LEC 2,Business Ethics and Corporate Social Responsibility,16W,3.0,TR 2:00PM-3:15PM,Razi Allah Lone
MGMT 242 LEC 3,Business Ethics and Corporate Social Responsibility,16W,3.0,TR 3:30PM-4:45PM,Razi Allah Lone
MGMT 243 LEC 1,Public Administration,16W,3.0,TR 11:00AM-12:15PM,Mohsin Bashir
MGMT 247 LEC 1,Public Financial Management,16W,3.0,TR 3:30PM-4:45PM,Sajid Siddique
MGMT 252 LEC 1,Logic and Critical Thinking,16W,3.0,MW 2:00PM-3:15PM,Muhammad Shabbir Ahsen
MGMT 260 LEC 1,Business Law,16W,3.0,MW 8:00AM-9:15AM,Ali Sultan
MGMT 260 LEC 2,Business Law,16W,3.0,MW 9:30AM-10:45AM,Ali Sultan
MGMT 260 LEC 3,Business Law,16W,3.0,MW 11:00AM-12:15PM,Ali Sultan
MGMT 2601 LEC 1,Introduction to Management,SDSB-Foundation,1.5,MRFSSu 11:00AM-1:10PM,Faiza Ali
MGMT 2601 LEC 2,Introduction to Management,SDSB-Foundation,1.5,MRFSSu 2:00PM-4:10PM,
MGMT 261 LEC 1,Introduction to Policy Analysis,16W,3.0,TR 9:30AM-10:45AM,Ghazal Mir Zulfiqar
MGMT 262 LEC 1,Governance System of Pakistan,16W,3.0,MW 5:00PM-6:15PM,
MGMT 263 LEC 1,Contemporary Social Policy Issues in Pakistan,16W,3.0,TR 12:30PM-1:45PM,Muhammad Ahsan Rana
MGMT 283 LEC 1,Fundamentals of Hospitality Management,16W,3.0,MW 12:30PM-1:45PM,Shireen Waheed
MGMT 343 LEC 1,E-Government,16W,3.0,TR 9:30AM-10:45AM,Shafay Shamail
MGMT 348 LEC 1,Internet Governance and Technology Policy,16W,3.0,MW 5:00PM-6:15PM,
MGMT 386 LEC 1,"Business, Government, and Society",16W,3.0,TR 2:00PM-3:15PM,Ghazal Mir Zulfiqar
MGMT 400 LEC 1,Strategic Business Management,16W,3.0,TR 3:30PM-4:45PM,Adnan Zahid
MGMT 400 LEC 2,Strategic Business Management,16W,3.0,MW 3:30PM-4:45PM,Adnan Zahid
MGMT 400 LEC 3,Strategic Business Management,16W,3.0,TR 9:30AM-10:45AM,Salma Zaman
MGMT 481 LEC 1,Entrepreneurship,16W,3.0,TR 5:00PM-6:15PM,Sahar Arif
MGMT 7501 LEC 1,Philosophy of Administrative Sciences,10-WKS,2.0,W 2:30PM-5:30PM,Anjum Fayyaz
MGMT 8102 LEC 1,Seminar in Strategic Management,16W,3.0,W 9:00AM-12:00PM,Salma Zaman
MKTG 201 LEC 1,Principles of Marketing,16W,3.0,TR 12:30PM-1:45PM,Muhammad Asim
MKTG 201 LEC 2,Principles of Marketing,16W,3.0,TR 9:30AM-10:45AM,Mahira Ilyas
MKTG 201 LEC 3,Principles of Marketing,16W,3.0,TR 11:00AM-12:15PM,Mahira Ilyas
MKTG 201 LEC 4,Principles of Marketing,16W,3.0,MW 3:30PM-4:45PM,Khudejah Iqbal Ali
MKTG 2401 LEC 1,Introduction to Marketing,SDSB-Foundation,1.5,MRFSSu 8:30AM-10:40AM,Saima Mujtaba Rana
MKTG 2401 LEC 2,Introduction to Marketing,SDSB-Foundation,1.5,MRFSSu 4:30PM-6:40PM,
MKTG 302 LEC 1,Using New Media Technologies in Marketing,16W,3.0,TR 3:30PM-4:45PM,
MKTG 324 LEC 1,Integrated Marketing Communications,16W,3.0,MW 3:30PM-4:45PM,
MKTG 332 LEC 1,Consumer Behaviour,16W,3.0,TR 9:30AM-10:45AM,Saima Mujtaba Rana
MKTG 343 LEC 1,Marketing Models,16W,3.0,TR 3:30PM-4:45PM,Muhammad Asim
MKTG 345 LEC 1,Data Analytics for New Product Development,16W,3.0,MW 3:30PM-4:45PM,Muhammad Asim
MKTG 392 LEC 1,Brand Management,16W,3.0,MW 2:00PM-3:15PM,Moeen Naseer Butt
MKTG 5401 LEC 1,Marketing Management,MS1,3.0,FSSu 10:45AM-12:45PM,Usman Iqbal Bhatty
MKTG 5401 LEC 2,Marketing Management,MS1,3.0,FSSu 8:30AM-10:30AM,Aaminah Zaman Malik
MKTG 5401 LEC 3,Marketing Management,MS1,3.0,FSSu 4:15PM-6:15PM,Aaminah Zaman Malik
ORSC 201 LEC 1,Organizational Behaviour,16W,3.0,MW 9:30AM-10:45AM,Faiza Ali
ORSC 201 LEC 2,Organizational Behaviour,16W,3.0,MW 11:00AM-12:15PM,Faiza Ali
ORSC 201 LEC 3,Organizational Behaviour,16W,3.0,TR 11:00AM-12:15PM,Ghulam Ali Arain
ORSC 201 LEC 4,Organizational Behaviour,16W,3.0,TR 12:30PM-1:45PM,Ghulam Ali Arain
ORSC 7302 LEC 1,Applications of Psychology in Management,16W,3.0,T 9:30AM-12:30PM,Jawad Sarwar Naqvi Syed
ORSC 8402 LEC 1,Seminar in Human Resource Management,16W,3.0,R 9:30AM-12:30PM,Muhammad Abdur Rahman Malik
PHIL 132 LEC 1,Introduction to Logic,16W,4.0,TR 8:00AM-9:50AM,Muhammad Shabbir Ahsen
PHIL 203 LEC 1,Introduction to Philosophy II,16W,4.0,TR 12:00PM-1:50PM,Syed Sikander Gilani
PHIL 204 LEC 1,Contemporary Moral Problems,16W,4.0,MW 4:30PM-6:20PM,Syed Sikander Gilani
PHY 101 LEC 1,Mechanics,16W,4.0,MW 2:00PM-3:15PM,Adam Zaman Chaudhry
PHY 101 LEC 2,Mechanics,16W,4.0,TR 2:30PM-3:45PM,Adam Zaman Chaudhry
PHY 101 RAC 1,Mechanics,16W,4.0,F 9:00AM-9:50AM,Adam Zaman Chaudhry
PHY 101 RAC 2,Mechanics,16W,4.0,M 8:00AM-8:50AM,Adam Zaman Chaudhry
PHY 101 RAC 3,Mechanics,16W,4.0,F 8:00AM-8:50AM,Adam Zaman Chaudhry
PHY 101 RAC 4,Mechanics,16W,4.0,M 9:00AM-9:50AM,Adam Zaman Chaudhry
PHY 101 RAC 5,Mechanics,16W,4.0,F 4:00PM-4:50PM,Adam Zaman Chaudhry
PHY 101 RAC 6,Mechanics,16W,4.0,F 2:00PM-2:50PM,Adam Zaman Chaudhry
PHY 101 RAC 7,Mechanics,16W,4.0,F 3:00PM-3:50PM,Adam Zaman Chaudhry
PHY 101 RAC 8,Mechanics,16W,4.0,F 5:00PM-5:50PM,Adam Zaman Chaudhry
PHY 204 LEC 1,Electricity and Magnetism,16W,3.0,TR 4:30PM-5:45PM,Rizwan Khalid
PHY 212 LEC 1,Quantum Mechanics I,16W,3.0,MW 4:30PM-5:45PM,Syed Moeez Hassan
PHY 223 LEC 1,"Mathematical Methods in Physics and Engineering
I",16W,3.0,MW 8:00AM-9:15AM,Ammar Ahmed Khan
PHY 300 LAB 1,Experimental Physics Lab II,16W,3.0,W 9:00AM-5:50PM,Muhammad Hamza Humayun
PHY 301 LEC 1,Classical Mechanics,16W,3.0,TR 12:00PM-1:15PM,Tajdar Mufti
PHY 313 LEC 1,Statistical Mechanics,16W,4.0,TR 8:00AM-9:50AM,
PHY 316 LEC 1,Introduction to Computational Neuroscience,16W,3.0,TR 8:00AM-9:15AM,
PHY 404 LEC 1,Relativistic Electrodynamics,16W,3.0,TR 1:30PM-2:45PM,Syed Moeez Hassan
PHY 501 LAB 1,Electrodynamics,16W,3.0,M 9:30AM-12:20PM,Rizwan Khalid
PHY 501 LEC 1,Electrodynamics,16W,3.0,TR 10:00AM-10:50AM,Rizwan Khalid
PHY 5114 LEC 1,Quantum Algorithms,16W,3.0,TR 9:30AM-10:45AM,Muhammad Faryad
PHY 512 LEC 1,Advanced Quantum Mechanics,16W,3.0,TR 11:00AM-12:15PM,Muhammad Faryad
PHY 633 LEC 1,Magnetism: Theory and Experiment,16W,3.0,TR 3:30PM-4:45PM,Muhammad Sabieh Anwar
POL 100 LEC 1,Introduction to Political Science,16W,4.0,TR 10:00AM-11:50AM,Rida Ashfaq
POL 100 LEC 2,Introduction to Political Science,16W,4.0,TR 2:00PM-3:50PM,Rida Ashfaq
POL 100 LEC 3,Introduction to Political Science,16W,4.0,MW 10:00AM-11:50AM,
POL 132 LEC 1,Introduction to Politics in Developing Countries,16W,4.0,MW 2:00PM-3:50PM,
POL 203 LEC 1,Introduction to Political Theory,16W,4.0,MW 4:00PM-5:50PM,Adeel Hamza
POL 203 LEC 2,Introduction to Political Theory,16W,4.0,TR 4:00PM-5:50PM,Muhammad Shabbir Ahsen
POL 2214 LEC 1,"Decolonizing Democracy: Lessons from the Global
South",16W,4.0,TR 12:00PM-1:50PM,Farhat Haq
POL 266 LEC 1,Women and Political Theory,16W,4.0,TR 4:00PM-5:50PM,Adeel Hamza
POL 3113 LEC 1,Political Islam: Ideology and Politics,16W,4.0,MW 4:00PM-5:50PM,Taimur Rahman
POL 320 LEC 1,Comparative Politics,16W,4.0,TR 10:00AM-11:50AM,Asma ul-Husna Faiz
POL 320 LEC 2,Comparative Politics,16W,4.0,TR 2:00PM-3:50PM,Asma ul-Husna Faiz
POL 3202 LEC 1,Qualitative Research Methods in Political Science,16W,4.0,MW 2:00PM-3:50PM,Hafiz Muhammad Salman Rafi
POL 324 LEC 1,Marxism and the Modern World,16W,4.0,TR 4:00PM-5:50PM,Taimur Rahman
POL 3302 LEC 1,Theories of IR,16W,4.0,TR 12:00PM-1:50PM,Syed Rashid Munir
POL 366 LEC 1,Terrorism as Political Action,16W,4.0,TR 2:00PM-3:50PM,Syed Rashid Munir
POL 4112 LEC 1,Political Leadership,16W,4.0,MW 2:00PM-3:50PM,Mohammad Waseem
POL 412 LEC 1,Diplomacy in International Relations,16W,4.0,TR 10:00AM-11:50AM,Shahid Malik
PSY 100 LEC 1,Introduction to Psychology and Human Behavior,16W,4.0,TR 4:00PM-5:50PM,Yasser Hashmi
PSY 100 LEC 2,Introduction to Psychology and Human Behavior,16W,4.0,TR 4:00PM-5:50PM,Natasha Sohail Barlas
PSY 100 LEC 3,Introduction to Psychology and Human Behavior,16W,4.0,MW 2:00PM-3:50PM,Arman Ashraf
PSY 212 LEC 1,Theories of Learning,16W,4.0,MW 12:00PM-1:50PM,Imran Rashid
PSY 214 LEC 1,Perception,16W,4.0,MW 4:00PM-5:50PM,Yasser Hashmi
PSY 220 LEC 1,Psychopathology,16W,4.0,MW 2:00PM-3:50PM,Tahira Haider
PSY 300 LEC 1,Social Psychology,16W,4.0,TR 12:00PM-1:50PM,Imran Rashid
PSY 321 LEC 1,Life Span Development,16W,4.0,TR 2:00PM-3:50PM,Natasha Sohail Barlas
REL 200 LEC 1,What is Religion,16W,4.0,MW 2:00PM-3:50PM,Essam Fahim
REL 224 LEC 1,"Introduction to Quranic and Modern Standard
Arabic",16W,4.0,TR 4:00PM-5:50PM,Asif Iftikhar
REL 235 LEC 1,"Religion, Conflict, and Peace Building",16W,4.0,MW 2:00PM-3:50PM,Aurangzeb Haneef
REL 314 LEC 1,Islamic Historiography: An Introduction,16W,4.0,MW 10:00AM-11:50AM,Baqar Hassan Syed
REL 315 LEC 1,Religion and Existentialism,16W,4.0,TR 2:00PM-3:50PM,Mian Muhammad Nauman Faizi
REL 332 LEC 1,"What is ""Islamic"" history?",16W,4.0,MW 10:00AM-11:50AM,Irfan Moeen Khan
REL 334 LEC 1,"Experience and Interpretation in Muslim Feminist
Scriptural Discourse",16W,4.0,TR 10:00AM-11:50AM,
SCI 503 LEC 1,STEM Teaching in the AI Era,16W,3.0,MW 12:00PM-1:15PM,"Muhammad Hamad Alizai
Anusheh Attique"
SCRM 6101 LEC 1,Operations and Supply Chain Strategy,MS1,3.0,FSSu 6:30PM-8:30PM,Ahsan Umar
SOC 100 LEC 1,Introduction to Sociology,16W,4.0,MW 4:00PM-5:50PM,Amen Jaffer
SOC 100 LEC 2,Introduction to Sociology,16W,4.0,MW 12:00PM-1:50PM,Tania Saeed
SOC 253 LEC 1,Scientific Imagination and the Religious Mind,16W,4.0,TR 12:00PM-1:50PM,Basit Bilal Koshul
SOC 265 LEC 1,Introduction to Gender and Sexuality Studies,16W,4.0,MW 12:00PM-1:50PM,Nida Yasmeen Kirmani
SOC 310 LEC 1,Classical Sociological Theory,16W,4.0,TR 12:00PM-1:50PM,Umair Javed
SOC 320 LEC 1,Quantitative Research Methods,16W,4.0,MW 10:00AM-11:50AM,
SOC 334 LEC 1,The Informal Economy,16W,4.0,MW 12:00PM-1:50PM,Umair Javed
SOC 353 LEC 1,Social Science and the Post-Secular Age,16W,4.0,TR 4:00PM-5:50PM,Basit Bilal Koshul
SS 100 LEC 1,Writing and Communication,16W,4.0,TR 8:00AM-9:50AM,
SS 100 LEC 2,Writing and Communication,16W,4.0,TR 9:30AM-11:20AM,
SS 100 LEC 3,Writing and Communication,16W,4.0,TR 1:30PM-3:20PM,
SS 100 LEC 4,Writing and Communication,16W,4.0,MW 9:30AM-11:20AM,
SS 100 LEC 5,Writing and Communication,16W,4.0,TR 1:00PM-2:50PM,
SS 100 LEC 6,Writing and Communication,16W,4.0,MW 2:00PM-3:50PM,
SS 100 LEC 7,Writing and Communication,16W,4.0,TR 4:00PM-5:50PM,
SS 100 LEC 8,Writing and Communication,16W,4.0,MW 10:00AM-11:50AM,
SS 100 LEC 9,Writing and Communication,16W,4.0,TR 12:00PM-1:50PM,
SS 100 LEC 10,Writing and Communication,16W,4.0,TR 4:00PM-5:50PM,
SS 100 LEC 11,Writing and Communication,16W,4.0,MW 11:00AM-12:50PM,
SS 100 LEC 12,Writing and Communication,16W,4.0,MW 12:00PM-1:50PM,
SS 100 LEC 13,Writing and Communication,16W,4.0,MW 8:00AM-9:50AM,
SS 100 LEC 14,Writing and Communication,16W,4.0,TR 10:00AM-11:50AM,
SS 100 LEC 15,Writing and Communication,16W,4.0,MW 9:00AM-10:50AM,
SS 100 LEC 16,Writing and Communication,16W,4.0,TR 2:00PM-3:50PM,
SS 100 LEC 17,Writing and Communication,16W,4.0,TR 3:30PM-5:20PM,
SS 100 LEC 18,Writing and Communication,16W,4.0,TR 9:00AM-10:50AM,
SS 100 LEC 19,Writing and Communication,16W,4.0,MW 2:00PM-3:50PM,
SS 100 LEC 20,Writing and Communication,16W,4.0,MW 2:00PM-3:50PM,
SS 100 LEC 21,Writing and Communication,16W,4.0,TR 11:30AM-1:20PM,
SS 100 LEC 22,Writing and Communication,16W,4.0,MW 12:00PM-1:50PM,
SS 100 LEC 23,Writing and Communication,16W,4.0,TR 11:00AM-12:50PM,
SS 100A LEC 1,Introduction to Writing,16W,2.0,TR 4:00PM-4:50PM,
SS 100A LEC 2,Introduction to Writing,16W,2.0,MW 8:00AM-8:50AM,
SS 100A LEC 3,Introduction to Writing,16W,2.0,MW 1:00PM-1:50PM,
SS 100A LEC 4,Introduction to Writing,16W,2.0,TR 11:00AM-11:50AM,
SS 100A LEC 5,Introduction to Writing,16W,2.0,TR 10:00AM-10:50AM,
SS 101 LEC 1,Islamic Studies,16W,2.0,F 8:00AM-9:50AM,Aurangzeb Haneef
SS 101 LEC 2,Islamic Studies,16W,2.0,F 4:00PM-5:50PM,Essam Fahim
SS 101 LEC 3,Islamic Studies,16W,2.0,T 2:00PM-3:50PM,Baqar Hassan Syed
SS 101 LEC 4,Islamic Studies,16W,2.0,R 12:00PM-1:50PM,Essam Fahim
SS 101 LEC 5,Islamic Studies,16W,2.0,F 2:00PM-3:50PM,Asif Iftikhar
SS 102 LEC 1,Pakistan Studies: Culture and Heritage,16W,2.0,F 4:00PM-5:50PM,
SS 102 LEC 2,Pakistan Studies: Culture and Heritage,16W,2.0,F 8:00AM-9:50AM,
SS 102 LEC 3,Pakistan Studies: Culture and Heritage,16W,2.0,T 8:00AM-9:50AM,
SS 102 LEC 4,Pakistan Studies: Culture and Heritage,16W,2.0,F 2:00PM-3:50PM,
SS 102 LEC 5,Pakistan Studies: Culture and Heritage,16W,2.0,W 2:00PM-3:50PM,
SS 102 LEC 6,Pakistan Studies: Culture and Heritage,16W,2.0,M 8:00AM-9:50AM,
SS 102 LEC 7,Pakistan Studies: Culture and Heritage,16W,2.0,W 8:00AM-9:50AM,
SS 102 LEC 8,Pakistan Studies: Culture and Heritage,16W,2.0,M 4:00PM-5:50PM,
SS 102 LEC 9,Pakistan Studies: Culture and Heritage,16W,2.0,F 11:00AM-12:50PM,
SS 1302 LEC 1,"Sur, Tal aur Rag: Foundations of South Asian Music",16W,4.0,TR 10:00AM-11:50AM,Sadaf Habib
SS 1303 LEC 1,Introduction to Kathak,16W,4.0,TR 1:00PM-2:50PM,
SS 187 LEC 1,Applied Statistics for Humanities,16W,4.0,MW 12:00PM-1:50PM,Muhammad Saad Imtiaz
SS 187 LEC 2,Applied Statistics for Humanities,16W,4.0,TR 12:00PM-1:50PM,Muhammad Salaar Arif Khan
SS 233 LEC 1,Media Writing,16W,4.0,TR 8:00AM-9:50AM,Syed Javed Nazir
SS 3302 LEC 1,Professional Communication Skills,16W,4.0,MW 3:00PM-4:50PM,Aamna Khalid
SSE 101 LEC 1,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 2,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 3,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 4,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 5,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 6,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 7,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 8,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 9,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 10,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 11,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 12,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 13,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 14,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 15,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 16,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 17,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 18,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 19,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 20,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 21,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 22,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 23,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 24,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SWR 102 PRT 1,Swimming for Beginners,16W,1.0,TR 10:00AM-11:15AM,"Muhammad Haider Awan
Amir Hussain"
SWR 102 PRT 2,Swimming for Beginners,16W,1.0,MW 10:00AM-11:15AM,"Khalida Bashir
Rabia Yasin"
SWR 102 PRT 3,Swimming for Beginners,16W,1.0,TR 2:00PM-3:15PM,"Rashid Ahmad
Azmat Ullah"
SWR 102 PRT 4,Swimming for Beginners,16W,1.0,MW 2:00PM-3:15PM,"Kausar Farooq
Nimra Nimra"
SWR 102 PRT 5,Swimming for Beginners,16W,1.0,TR 12:00PM-1:15PM,"Khalida Bashir
Rabia Yasin"
SWR 102 PRT 6,Swimming for Beginners,16W,1.0,MW 12:00PM-1:15PM,"Muhammad Haider Awan
Amir Hussain"
SWR 102 PRT 7,Swimming for Beginners,16W,1.0,TR 4:00PM-5:15PM,"Kausar Farooq
Nimra Nimra"
SWR 102 PRT 8,Swimming for Beginners,16W,1.0,MW 4:00PM-5:15PM,"Rashid Ahmad
Azmat Ullah"
SWR 103 PRT 1,Strength Training and Conditioning for Beginners,16W,1.0,MW 10:00AM-11:15AM,Muhammad Bilal Iqbal Khan
SWR 103 PRT 2,Strength Training and Conditioning for Beginners,16W,1.0,TR 10:00AM-11:15AM,Muhammad Bilal Iqbal Khan
SWR 103 PRT 3,Strength Training and Conditioning for Beginners,16W,1.0,MW 2:00PM-3:15PM,Mudassar Naseer
SWR 103 PRT 4,Strength Training and Conditioning for Beginners,16W,1.0,TR 2:00PM-3:15PM,Mudassar Naseer
SWR 103 PRT 5,Strength Training and Conditioning for Beginners,16W,1.0,TR 4:00PM-5:15PM,Muhammad Shakeel
SWR 103 PRT 6,Strength Training and Conditioning for Beginners,16W,1.0,MW 4:00PM-5:15PM,Muhammad Shakeel
SWR 103 PRT 7,Strength Training and Conditioning for Beginners,16W,1.0,MW 10:00AM-11:15AM,Kanwal Yousaf
SWR 103 PRT 8,Strength Training and Conditioning for Beginners,16W,1.0,TR 10:00AM-11:15AM,Kanwal Yousaf
SWR 103 PRT 9,Strength Training and Conditioning for Beginners,16W,1.0,MW 11:30AM-12:45PM,Aruba Naz
SWR 103 PRT 10,Strength Training and Conditioning for Beginners,16W,1.0,TR 11:30AM-12:45PM,Aruba Naz
SWR 103 PRT 11,Strength Training and Conditioning for Beginners,16W,1.0,MW 4:00PM-5:15PM,Shabana Kausar
SWR 103 PRT 12,Strength Training and Conditioning for Beginners,16W,1.0,TR 4:00PM-5:15PM,Shabana Kausar
SWR 104 PRT 1,Basketball for beginners,16W,1.0,MW 3:30PM-4:45PM,Mohsin Riaz
SWR 104 PRT 2,Basketball for beginners,16W,1.0,MW 5:00PM-6:15PM,Mohsin Riaz
SWR 104 PRT 3,Basketball for beginners,16W,1.0,TR 3:30PM-4:45PM,Mohsin Riaz
SWR 104 PRT 4,Basketball for beginners,16W,1.0,TR 5:00PM-6:15PM,Mohsin Riaz
SWR 105 PRT 1,"Walk, Jog and Stretch for Fitness",16W,1.0,MW 3:30PM-4:45PM,Babar Asad Khan
SWR 105 PRT 2,"Walk, Jog and Stretch for Fitness",16W,1.0,MW 5:00PM-6:15PM,Babar Asad Khan
SWR 105 PRT 3,"Walk, Jog and Stretch for Fitness",16W,1.0,TR 3:30PM-4:45PM,Babar Asad Khan
SWR 105 PRT 4,"Walk, Jog and Stretch for Fitness",16W,1.0,TR 5:00PM-6:15PM,Babar Asad Khan
